2026-01-17 14:34:54.639 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for steps: 执行步骤 vs 新加成功执行步骤. Keeping 执行步骤
2026-01-17 14:34:54.640 | INFO     | app.services.ingest.service:_normalize_results_with_llm:192 - Normalizing results with LLM for values: ['成功', '失败', '跳过', '阻塞']
2026-01-17 14:34:55.164 | INFO     | app.services.ingest.service:_normalize_results_with_llm:198 - Result mapping received: {'成功': 'Pass', '失败': 'Fail', '跳过': 'Skipped', '阻塞': 'Blocked'}
2026-01-17 14:34:55.169 | INFO     | app.services.ingest.service:parse_excel:37 - Parsed 107 cases from uploads\e9106980-6a21-40c6-9868-78270126cac8_测试数据.xlsx
2026-01-17 14:34:55.179 | INFO     | app.services.ingest.tagging:tag_cases_concurrently:16 - Starting concurrent module tagging for 107 cases...
2026-01-17 14:35:01.554 | INFO     | app.services.ingest.tagging:tag_cases_concurrently:24 - Module tagging completed.
2026-01-17 14:35:01.896 | INFO     | app.services.audit.auditor:audit_cases_concurrently:20 - Starting concurrent result audit for 59 passed cases...
2026-01-17 14:35:13.945 | INFO     | app.services.audit.auditor:audit_cases_concurrently:28 - Result audit completed.
2026-01-17 14:35:13.945 | INFO     | app.services.defects.extractor:extract_defect_facts_concurrently:15 - Extracting defects for 47 cases concurrently...
2026-01-17 14:35:33.231 | INFO     | app.services.defects.extractor:extract_defect_facts_concurrently:22 - Extracted 47 defects.
2026-01-17 14:44:12.920 | INFO     | app.services.ingest.service:parse_excel:13 - Parsing Excel file: uploads\f824858c-26b7-4928-94ee-b2ce4de470af_测试数据.xlsx
2026-01-17 14:44:13.139 | INFO     | app.services.ingest.service:_align_columns_with_llm:123 - Aligning columns for sheet Sheet1 with LLM...
2026-01-17 14:44:14.753 | INFO     | app.services.ingest.service:_align_columns_with_llm:131 - Column mapping received: {'测试用例编号': 'case_name', '模块名称': 'remark', '用例说明': 'case_name', '执行步骤': 'steps', '新加成功执行步骤': 'steps', '输入数据': 'precondition', '测试结果': 'test_result'}
2026-01-17 14:44:14.754 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for case_name: 测试用例编号 vs 用例说明. Keeping 测试用例编号
2026-01-17 14:44:14.754 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for steps: 执行步骤 vs 新加成功执行步骤. Keeping 执行步骤
2026-01-17 14:44:14.755 | INFO     | app.services.ingest.service:_normalize_results_with_llm:192 - Normalizing results with LLM for values: ['成功', '失败', '跳过', '阻塞']
2026-01-17 14:44:15.306 | INFO     | app.services.ingest.service:_normalize_results_with_llm:198 - Result mapping received: {'成功': 'Pass', '失败': 'Fail', '跳过': 'Skipped', '阻塞': 'Blocked'}
2026-01-17 14:44:15.311 | INFO     | app.services.ingest.service:parse_excel:37 - Parsed 107 cases from uploads\f824858c-26b7-4928-94ee-b2ce4de470af_测试数据.xlsx
2026-01-17 14:44:15.321 | INFO     | app.services.ingest.tagging:tag_cases_concurrently:16 - Starting concurrent module tagging for 107 cases...
2026-01-17 14:44:42.219 | INFO     | app.services.ingest.tagging:tag_cases_concurrently:24 - Module tagging completed.
2026-01-17 14:44:42.552 | INFO     | app.services.audit.auditor:audit_cases_concurrently:20 - Starting concurrent result audit for 59 passed cases...
2026-01-17 14:44:55.304 | INFO     | app.services.audit.auditor:audit_cases_concurrently:28 - Result audit completed.
2026-01-17 14:44:55.304 | INFO     | app.services.defects.extractor:extract_defect_facts_concurrently:15 - Extracting defects for 47 cases concurrently...
2026-01-17 14:45:14.829 | INFO     | app.services.defects.extractor:extract_defect_facts_concurrently:22 - Extracted 47 defects.
2026-01-17 14:50:32.941 | INFO     | app.services.ingest.service:parse_excel:13 - Parsing Excel file: uploads\38774d1c-0012-4c24-a4b3-3eac0b72c30a_测试数据.xlsx
2026-01-17 14:50:33.142 | INFO     | app.services.ingest.service:_align_columns_with_llm:123 - Aligning columns for sheet Sheet1 with LLM...
2026-01-17 14:50:35.365 | INFO     | app.services.ingest.service:_align_columns_with_llm:131 - Column mapping received: {'测试用例编号': 'case_name', '模块名称': 'remark', '用例说明': 'case_name', '执行步骤': 'steps', '新加成功执行步骤': 'steps', '输入数据': 'precondition', '测试结果': 'test_result'}
2026-01-17 14:50:35.365 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for case_name: 测试用例编号 vs 用例说明. Keeping 测试用例编号
2026-01-17 14:50:35.365 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for steps: 执行步骤 vs 新加成功执行步骤. Keeping 执行步骤
2026-01-17 14:50:35.366 | INFO     | app.services.ingest.service:_normalize_results_with_llm:192 - Normalizing results with LLM for values: ['成功', '失败', '跳过', '阻塞']
2026-01-17 14:50:44.167 | INFO     | app.services.ingest.service:_normalize_results_with_llm:198 - Result mapping received: {'成功': 'Pass', '失败': 'Fail', '跳过': 'Skipped', '阻塞': 'Blocked'}
2026-01-17 14:50:44.173 | INFO     | app.services.ingest.service:parse_excel:37 - Parsed 107 cases from uploads\38774d1c-0012-4c24-a4b3-3eac0b72c30a_测试数据.xlsx
2026-01-17 14:50:44.182 | INFO     | app.services.ingest.tagging:tag_cases_concurrently:16 - Starting concurrent module tagging for 107 cases...
2026-01-17 14:50:58.436 | INFO     | app.services.ingest.tagging:tag_cases_concurrently:24 - Module tagging completed.
